🧿广东频道,#genre#
佛山南海,http://php.jdshipin.com:8880/fstv.php?id=fsnh
佛山顺德,http://php.jdshipin.com:8880/fstv.php?id=fssd
佛山高明,http://php.jdshipin.com:8880/fstv.php?id=fsgm
佛山三水,http://php.jdshipin.com:8880/fstv.php?id=fsss
肇庆综合,http://php.jdshipin.com:8880/chudian.php?id=zqzh
肇庆公共,http://php.jdshipin.com:8880/chudian.php?id=zqgg
惠州新闻综合,http://php.jdshipin.com:8880/chudian.php?id=hzxw
惠阳台,http://php.jdshipin.com:8880/PLTV/chudian.php?id=hyt
惠东台,http://php.jdshipin.com:8880/PLTV/chudian.php?id=hdt
惠东综合,http://php.jdshipin.com:8880/chudian.php?id=hdzh
惠州新闻综合,http://php.jdshipin.com:8880/PLTV/chudian.php?id=hzxw
清远综合,http://php.jdshipin.com:8880/chudian.php?id=qyzh
梅州综合,http://php.jdshipin.com:8880/chudian.php?id=mzzh
河源综合,http://php.jdshipin.com:8880/chudian.php?id=hyzh
河源公共,http://php.jdshipin.com:8880/chudian.php?id=hygg
紫金综合,http://php.jdshipin.com:8880/chudian.php?id=zjzh
紫金台,http://php.jdshipin.com:8880/PLTV/chudian.php?id=zjt
连平台,http://php.jdshipin.com:8880/chudian.php?id=lpzh
东源台,http://php.jdshipin.com:8880/chudian.php?id=dytv
和平综合,http://php.jdshipin.com:8880/chudian.php?id=hpzh
阳江-1,http://php.jdshipin.com:8880/chudian.php?id=yjtv1
阳江-2,http://php.jdshipin.com:8880/chudian.php?id=yjtv2
开平综合,http://php.jdshipin.com:8880/chudian.php?id=kpzh
开平生活,http://php.jdshipin.com:8880/chudian.php?id=kpsh
四会新闻综合,http://php.jdshipin.com:8880/chudian.php?id=shzh
广宁综合,http://php.jdshipin.com:8880/chudian.php?id=gnzh
化州综合,http://php.jdshipin.com:8880/chudian.php?id=hzzh
鹤山综合,http://php.jdshipin.com:8880/chudian.php?id=hszh
廉江综合,http://php.jdshipin.com:8880/chudian.php?id=ljzh
英德新闻综合,http://php.jdshipin.com:8880/chudian.php?id=ydxw
清新综合,http://php.jdshipin.com:8880/chudian.php?id=qxzh
连州综合,http://php.jdshipin.com:8880/chudian.php?id=lzzh
阳春综合,http://php.jdshipin.com:8880/chudian.php?id=yczh
佛冈综合,http://php.jdshipin.com:8880/chudian.php?id=fgzh
怀集综合,http://php.jdshipin.com:8880/chudian.php?id=hjzh
惠阳电视台,http://php.jdshipin.com:8880/chudian.php?id=hytv
信宜综合,http://php.jdshipin.com:8880/chudian.php?id=xyzh
徐闻综合,http://php.jdshipin.com:8880/chudian.php?id=xwzh
阳西综合,http://php.jdshipin.com:8880/chudian.php?id=yxzh
台山台,http://php.jdshipin.com:8880/chudian.php?id=tstv
遂溪台,http://php.jdshipin.com:8880/chudian.php?id=sxtv
新会综合,http://php.jdshipin.com:8880/chudian.php?id=xhzh
罗定综合,http://php.jdshipin.com:8880/chudian.php?id=ldzh
吴川综合,http://php.jdshipin.com:8880/chudian.php?id=wczh
乐昌电视台,http://php.jdshipin.com:8880/chudian.php?id=lctv
潮安综合,http://php.jdshipin.com:8880/chudian.php?id=cazh
恩平综合,http://php.jdshipin.com:8880/chudian.php?id=epzh
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8#https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8?_upt=f767206b1671099007
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
潮州综合,http://time-vod-qhlive.sobeylive.com/czbtv2019/czzhpd.m3u8
潮州民生,http://time-vod-qhlive.sobeylive.com/czbtv2019/czggpd.m3u8
揭阳综合,http://php.jdshipin.com:8880/tianma.php?id=jyzh
揭阳生活,http://php.jdshipin.com:8880/tianma.php?id=jysh
普宁综合,http://php.jdshipin.com:8880/chudian.php?id=pnzh
汕头综合,http://php.jdshipin.com:8880/PLTV/iptv.php?id=stzh
GRTN荔枝台,http://glive.grtn.cn/live/lizhi.m3u8
GRTN文化频道,https://glive.grtn.cn/live/wenhua_test0203.m3u8
GRTN生活频道,http://glive.grtn.cn/live/life.m3u8
GRTN纪录片频道,http://glive.grtn.cn/live/jilupian.m3u8
GRTN健康频道,http://glive.grtn.cn/live/health.m3u8
工布江达县广播电视台,http://php.jdshipin.com:8880/chudian.php?id=gbjd

广东卫视,http://14.112.82.130:2222/udp/239.77.1.19:5146
广东卫视,http://14.112.82.130:2222/udp/239.77.1.152:5146
广东卫视,http://14.112.82.130:2222/udp/239.77.0.84:5146
广东卫视,http://14.112.82.130:2222/udp/239.77.0.166:5146
广东珠江,http://14.112.82.130:2222/udp/239.77.0.1:5146
广东珠江,http://14.112.82.130:2222/udp/239.77.0.114:5146
广东新闻,http://14.112.82.130:2222/udp/239.77.0.173:5146
广东民生,http://14.112.82.130:2222/udp/239.77.0.225:5146
广东体育,http://14.112.82.130:2222/udp/239.77.0.112:5146
广东体育,http://14.112.82.130:2222/udp/239.77.0.168:5146
经济科教,http://14.112.82.130:2222/udp/239.77.0.85:5146
经济科教,http://14.112.82.130:2222/udp/239.77.0.167:5146
大湾区卫视,http://14.112.82.130:2222/udp/239.77.0.215:5146
广东影视,http://14.112.82.130:2222/udp/239.77.0.217:5146
南国都市 4K,http://14.112.82.130:2222/udp/239.253.43.99:5146
广东少儿,http://14.112.82.130:2222/udp/239.77.0.250:5146
嘉佳卡通,http://14.112.82.130:2222/udp/239.77.0.179:5146
广东卫视,http://14.112.82.130:2222/udp/239.77.0.2:5146
广东卫视,http://14.112.82.130:2222/udp/239.77.1.2:5146
广东珠江,http://14.112.82.130:2222/udp/239.77.0.3:5146
广东珠江,http://14.112.82.130:2222/udp/239.77.1.94:5146
广东新闻,http://14.112.82.130:2222/udp/239.77.0.4:5146
广东民生,http://14.112.82.130:2222/udp/239.77.0.5:5146
广东体育,http://14.112.82.130:2222/udp/239.77.0.6:5146
广东体育,http://14.112.82.130:2222/udp/239.77.1.97:5146
广东国际,http://14.112.82.130:2222/udp/239.77.0.7:5146
经济科教,http://14.112.82.130:2222/udp/239.77.0.8:5146
大湾区卫视,http://14.112.82.130:2222/udp/239.77.0.9:5146
大湾区卫视,http://14.112.82.130:2222/udp/239.77.1.12:5146
广东影视,http://14.112.82.130:2222/udp/239.77.0.11:5146
广东少儿,http://14.112.82.130:2222/udp/239.77.0.12:5146
嘉佳卡通,http://14.112.82.130:2222/udp/239.77.0.13:5146
嘉佳卡通,http://14.112.82.130:2222/udp/239.77.1.15:5146
南方购物,http://14.112.82.130:2222/udp/239.77.0.19:5146
南方购物,http://14.112.82.130:2222/udp/239.77.0.22:5146
岭南戏曲,http://14.112.82.130:2222/udp/239.77.0.16:5146
广东房产,http://14.112.82.130:2222/udp/239.77.0.14:5146
现代教育,http://14.112.82.130:2222/udp/239.77.0.18:5146
广东移动,http://14.112.82.130:2222/udp/239.77.0.20:5146
广东综艺4K,http://14.112.82.130:2222/udp/239.77.1.237:5146
广东综艺4k,http://14.112.82.130:2222/udp/239.77.0.244:5146
广东综艺4k,http://14.112.82.130:2222/udp/239.77.0.246:5146
广东综艺4k,http://14.112.82.130:2222/udp/239.77.0.245:5146
广东综艺4k,http://14.112.82.130:2222/udp/239.77.0.252:5146
深圳卫视,http://14.112.82.130:2222/udp/239.77.0.55:5146
深圳卫视,http://14.112.82.130:2222/udp/239.77.1.21:5146
深圳卫视,http://14.112.82.130:2222/udp/239.77.1.3:5146
深圳卫视,http://14.112.82.130:2222/udp/239.77.1.148:5146
深圳卫视,http://14.112.82.130:2222/udp/239.77.0.92:5146
深圳卫视超清,http://14.112.82.130:2222/udp/239.77.0.130:5146
深圳都市频道,http://14.112.82.130:2222/udp/239.77.1.34:5146
深圳都市频道,http://14.112.82.130:2222/udp/239.77.1.176:5146
深圳都市频道,http://14.112.82.130:2222/udp/239.77.1.124:5146
深圳电视剧频道,http://14.112.82.130:2222/udp/239.77.1.7:5146
深圳电视剧频道,http://14.112.82.130:2222/udp/239.77.1.177:5146
深圳电视剧频道,http://14.112.82.130:2222/udp/239.77.1.125:5146
深圳财经生活,http://14.112.82.130:2222/udp/239.77.1.22:5146
深圳财经生活,http://14.112.82.130:2222/udp/239.77.1.242:5146
深圳娱乐频道,http://14.112.82.130:2222/udp/239.77.1.36:5146
深圳娱乐频道,http://14.112.82.130:2222/udp/239.77.1.243:5146
深圳体育健康,http://14.112.82.130:2222/udp/239.77.1.8:5146
深圳体育健康,http://14.112.82.130:2222/udp/239.77.1.128:5146
深圳体育健康,http://14.112.82.130:2222/udp/239.77.1.140:5146
深圳少儿频道,http://14.112.82.130:2222/udp/239.77.1.38:5146
深圳少儿频道,http://14.112.82.130:2222/udp/239.77.1.244:5146
深圳公共频道,http://14.112.82.130:2222/udp/239.77.1.9:5146
深圳公共频道,http://14.112.82.130:2222/udp/239.77.1.178:5146
深圳公共频道,http://14.112.82.130:2222/udp/239.77.1.126:5146
深圳宝安频道,http://14.112.82.130:2222/udp/239.77.1.206:5146
深圳宝安频道,http://14.112.82.130:2222/udp/239.77.1.67:5146
深圳宝安第一课,http://14.112.82.130:2222/udp/239.77.1.225:5146
深圳龙岗频道,http://14.112.82.130:2222/udp/239.77.1.223:5146
深圳东部频道,http://14.112.82.130:2222/udp/239.77.1.224:5146
深圳众创TV,http://14.112.82.130:2222/udp/239.77.1.247:5146
深圳移动电视,http://14.112.82.130:2222/udp/239.77.1.175:5146
深圳宜和购物,http://14.112.82.130:2222/udp/239.77.1.39:5146
深圳宜和购物,http://14.112.82.130:2222/udp/239.77.1.87:5146
韶关新闻综合,http://14.112.82.130:2222/udp/239.77.0.116:5146
韶关新闻综合,http://14.112.82.130:2222/udp/239.77.0.117:5146
韶关绿色生活,http://14.112.82.130:2222/udp/239.77.0.118:5146
韶关绿色生活,http://14.112.82.130:2222/udp/239.77.0.119:5146
湛江新闻综合,http://14.112.82.130:2222/udp/239.77.0.120:5146
湛江新闻综合,http://14.112.82.130:2222/udp/239.77.0.141:5146
湛江公共,http://14.112.82.130:2222/udp/239.77.0.121:5146
湛江公共,http://14.112.82.130:2222/udp/239.77.0.140:5146
揭阳综合,http://14.112.82.130:2222/udp/239.77.0.157:5146
揭阳综合,http://14.112.82.130:2222/udp/239.77.0.229:5146
揭阳生活,http://14.112.82.130:2222/udp/239.77.0.158:5146
揭阳生活,http://14.112.82.130:2222/udp/239.77.0.251:5146
汕尾新闻综合,http://14.112.82.130:2222/udp/239.77.1.189:5146
汕尾新闻综合,http://14.112.82.130:2222/udp/239.77.0.25:5146
汕尾文化生活,http://14.112.82.130:2222/udp/239.77.1.190:5146
汕尾文化生活,http://14.112.82.130:2222/udp/239.77.0.187:5146
江门综合,http://14.112.82.130:2222/udp/239.77.0.195:5146
江门综合,http://14.112.82.130:2222/udp/239.77.0.201:5146
江门侨乡生活,http://14.112.82.130:2222/udp/239.77.0.196:5146
江门侨乡生活,http://14.112.82.130:2222/udp/239.77.0.202:5146
江门教育,http://14.112.82.130:2222/udp/239.77.0.197:5146
江门教育,http://14.112.82.130:2222/udp/239.77.0.203:5146
HZTV-1,http://14.112.82.130:2222/udp/239.77.0.247:5146
HZTV-1,http://14.112.82.130:2222/udp/239.77.1.154:5146
HZTV-1,http://14.112.82.130:2222/udp/239.77.1.232:5146
HZTV-2,http://14.112.82.130:2222/udp/239.77.0.248:5146
HZTV-2,http://14.112.82.130:2222/udp/239.77.1.173:5146
HZTV-2,http://14.112.82.130:2222/udp/239.77.1.233:5146
珠海-1,http://14.112.82.130:2222/udp/239.77.1.230:5146
珠海-1,http://14.112.82.130:2222/udp/239.77.0.155:5146
珠海-2,http://14.112.82.130:2222/udp/239.77.1.231:5146
珠海-2,http://14.112.82.130:2222/udp/239.77.0.154:5146
肇庆综合,http://14.112.82.130:2222/udp/239.253.43.3:5146
肇庆综合,http://14.112.82.130:2222/udp/239.253.43.1:5146
肇庆生活服务,http://14.112.82.130:2222/udp/239.253.43.4:5146
肇庆生活服务,http://14.112.82.130:2222/udp/239.253.43.2:5146
河源综合,http://14.112.82.130:2222/udp/239.253.43.215:5146
河源综合,http://14.112.82.130:2222/udp/239.253.43.213:5146
河源公共,http://14.112.82.130:2222/udp/239.253.43.216:5146
河源公共,http://14.112.82.130:2222/udp/239.253.43.214:5146
清远新闻综合,http://14.112.82.130:2222/udp/239.253.43.31:5146
清远新闻综合,http://14.112.82.130:2222/udp/239.253.43.33:5146
清远文旅生活,http://14.112.82.130:2222/udp/239.253.43.32:5146
清远文旅生活,http://14.112.82.130:2222/udp/239.77.0.241:5146
清远文旅生活,http://14.112.82.130:2222/udp/239.253.43.34:5146
云浮综合,http://14.112.82.130:2222/udp/239.253.43.195:5146
云浮综合,http://14.112.82.130:2222/udp/239.77.0.253:5146
云浮文旅,http://14.112.82.130:2222/udp/239.253.43.194:5146
云浮文旅,http://14.112.82.130:2222/udp/239.77.0.254:5146
茂名综合,http://14.112.82.130:2222/udp/239.77.0.204:5146
茂名综合,http://14.112.82.130:2222/udp/239.77.0.206:5146
茂名公共,http://14.112.82.130:2222/udp/239.77.0.205:5146
茂名公共,http://14.112.82.130:2222/udp/239.77.0.207:5146
汕头综合,http://14.112.82.130:2222/udp/239.253.43.30:5146
汕头综合,http://14.112.82.130:2222/udp/239.77.1.130:5146
汕头综合,http://14.112.82.130:2222/udp/239.253.43.45:5146
汕头经济生活,http://14.112.82.130:2222/udp/239.253.43.43:5146
汕头经济生活,http://14.112.82.130:2222/udp/239.77.1.131:5146
汕头经济生活,http://14.112.82.130:2222/udp/239.253.43.46:5146
汕头文旅体育,http://14.112.82.130:2222/udp/239.253.43.44:5146
汕头文旅体育,http://14.112.82.130:2222/udp/239.77.1.132:5146
汕头文旅体育,http://14.112.82.130:2222/udp/239.253.43.47:5146
佛山公共,http://14.112.82.130:2222/udp/239.253.43.48:5146
佛山公共,http://14.112.82.130:2222/udp/239.253.43.53:5146
佛山南海,http://14.112.82.130:2222/udp/239.253.43.49:5146
佛山南海,http://14.112.82.130:2222/udp/239.77.0.236:5146
佛山南海,http://14.112.82.130:2222/udp/239.253.43.54:5146
佛山顺德,http://14.112.82.130:2222/udp/239.253.43.50:5146
佛山顺德,http://14.112.82.130:2222/udp/239.253.43.55:5146
佛山影视,http://14.112.82.130:2222/udp/239.253.43.51:5146
佛山影视,http://14.112.82.130:2222/udp/239.253.43.56:5146
佛山综合,http://14.112.82.130:2222/udp/239.253.43.52:5146
佛山综合,http://14.112.82.130:2222/udp/239.253.43.57:5146
东莞新闻综合,http://14.112.82.130:2222/udp/239.253.43.102:5146
东莞新闻综合,http://14.112.82.130:2222/udp/239.253.43.104:5146
东莞生活资讯,http://14.112.82.130:2222/udp/239.253.43.103:5146
东莞生活资讯,http://14.112.82.130:2222/udp/239.253.43.105:5146
中山综合,http://14.112.82.130:2222/udp/239.253.43.59:5146
中山综合,http://14.112.82.130:2222/udp/239.253.43.62:5146
香山文化,http://14.112.82.130:2222/udp/239.253.43.60:5146
香山文化,http://14.112.82.130:2222/udp/239.253.43.63:5146
中山教育,http://14.112.82.130:2222/udp/239.253.43.61:5146
中山教育,http://14.112.82.130:2222/udp/239.253.43.64:5146

广东卫视,http://116.20.67.180:4000/udp/239.77.1.19:5146
广东卫视,http://116.20.67.180:4000/udp/239.77.1.152:5146
广东卫视,http://116.20.67.180:4000/udp/239.77.0.84:5146
广东卫视,http://116.20.67.180:4000/udp/239.77.0.166:5146
广东珠江,http://116.20.67.180:4000/udp/239.77.0.1:5146
广东珠江,http://116.20.67.180:4000/udp/239.77.0.114:5146
广东新闻,http://116.20.67.180:4000/udp/239.77.0.173:5146
广东民生,http://116.20.67.180:4000/udp/239.77.0.225:5146
广东体育,http://116.20.67.180:4000/udp/239.77.0.112:5146
广东体育,http://116.20.67.180:4000/udp/239.77.0.168:5146
经济科教,http://116.20.67.180:4000/udp/239.77.0.85:5146
经济科教,http://116.20.67.180:4000/udp/239.77.0.167:5146
大湾区卫视,http://116.20.67.180:4000/udp/239.77.0.215:5146
广东影视,http://116.20.67.180:4000/udp/239.77.0.217:5146
南国都市 4K,http://116.20.67.180:4000/udp/239.253.43.99:5146
广东少儿,http://116.20.67.180:4000/udp/239.77.0.250:5146
嘉佳卡通,http://116.20.67.180:4000/udp/239.77.0.179:5146
广东卫视,http://116.20.67.180:4000/udp/239.77.0.2:5146
广东卫视,http://116.20.67.180:4000/udp/239.77.1.2:5146
广东珠江,http://116.20.67.180:4000/udp/239.77.0.3:5146
广东珠江,http://116.20.67.180:4000/udp/239.77.1.94:5146
广东新闻,http://116.20.67.180:4000/udp/239.77.0.4:5146
广东民生,http://116.20.67.180:4000/udp/239.77.0.5:5146
广东体育,http://116.20.67.180:4000/udp/239.77.0.6:5146
广东体育,http://116.20.67.180:4000/udp/239.77.1.97:5146
广东国际,http://116.20.67.180:4000/udp/239.77.0.7:5146
经济科教,http://116.20.67.180:4000/udp/239.77.0.8:5146
大湾区卫视,http://116.20.67.180:4000/udp/239.77.0.9:5146
大湾区卫视,http://116.20.67.180:4000/udp/239.77.1.12:5146
广东影视,http://116.20.67.180:4000/udp/239.77.0.11:5146
广东少儿,http://116.20.67.180:4000/udp/239.77.0.12:5146
嘉佳卡通,http://116.20.67.180:4000/udp/239.77.0.13:5146
嘉佳卡通,http://116.20.67.180:4000/udp/239.77.1.15:5146
南方购物,http://116.20.67.180:4000/udp/239.77.0.19:5146
南方购物,http://116.20.67.180:4000/udp/239.77.0.22:5146
岭南戏曲,http://116.20.67.180:4000/udp/239.77.0.16:5146
广东房产,http://116.20.67.180:4000/udp/239.77.0.14:5146
现代教育,http://116.20.67.180:4000/udp/239.77.0.18:5146
广东移动,http://116.20.67.180:4000/udp/239.77.0.20:5146
广东综艺4K,http://116.20.67.180:4000/udp/239.77.1.237:5146
广东综艺4k,http://116.20.67.180:4000/udp/239.77.0.244:5146
广东综艺4k,http://116.20.67.180:4000/udp/239.77.0.246:5146
广东综艺4k,http://116.20.67.180:4000/udp/239.77.0.245:5146
广东综艺4k,http://116.20.67.180:4000/udp/239.77.0.252:5146
深圳卫视,http://116.20.67.180:4000/udp/239.77.0.55:5146
深圳卫视,http://116.20.67.180:4000/udp/239.77.1.21:5146
深圳卫视,http://116.20.67.180:4000/udp/239.77.1.3:5146
深圳卫视,http://116.20.67.180:4000/udp/239.77.1.148:5146
深圳卫视,http://116.20.67.180:4000/udp/239.77.0.92:5146
深圳卫视超清,http://116.20.67.180:4000/udp/239.77.0.130:5146
深圳都市频道,http://116.20.67.180:4000/udp/239.77.1.34:5146
深圳都市频道,http://116.20.67.180:4000/udp/239.77.1.176:5146
深圳都市频道,http://116.20.67.180:4000/udp/239.77.1.124:5146
深圳电视剧频道,http://116.20.67.180:4000/udp/239.77.1.7:5146
深圳电视剧频道,http://116.20.67.180:4000/udp/239.77.1.177:5146
深圳电视剧频道,http://116.20.67.180:4000/udp/239.77.1.125:5146
深圳财经生活,http://116.20.67.180:4000/udp/239.77.1.22:5146
深圳财经生活,http://116.20.67.180:4000/udp/239.77.1.242:5146
深圳娱乐频道,http://116.20.67.180:4000/udp/239.77.1.36:5146
深圳娱乐频道,http://116.20.67.180:4000/udp/239.77.1.243:5146
深圳体育健康,http://116.20.67.180:4000/udp/239.77.1.8:5146
深圳体育健康,http://116.20.67.180:4000/udp/239.77.1.128:5146
深圳体育健康,http://116.20.67.180:4000/udp/239.77.1.140:5146
深圳少儿频道,http://116.20.67.180:4000/udp/239.77.1.38:5146
深圳少儿频道,http://116.20.67.180:4000/udp/239.77.1.244:5146
深圳公共频道,http://116.20.67.180:4000/udp/239.77.1.9:5146
深圳公共频道,http://116.20.67.180:4000/udp/239.77.1.178:5146
深圳公共频道,http://116.20.67.180:4000/udp/239.77.1.126:5146
深圳宝安频道,http://116.20.67.180:4000/udp/239.77.1.206:5146
深圳宝安频道,http://116.20.67.180:4000/udp/239.77.1.67:5146
深圳宝安第一课,http://116.20.67.180:4000/udp/239.77.1.225:5146
深圳龙岗频道,http://116.20.67.180:4000/udp/239.77.1.223:5146
深圳东部频道,http://116.20.67.180:4000/udp/239.77.1.224:5146
深圳众创TV,http://116.20.67.180:4000/udp/239.77.1.247:5146
深圳移动电视,http://116.20.67.180:4000/udp/239.77.1.175:5146
深圳宜和购物,http://116.20.67.180:4000/udp/239.77.1.39:5146
深圳宜和购物,http://116.20.67.180:4000/udp/239.77.1.87:5146
韶关新闻综合,http://116.20.67.180:4000/udp/239.77.0.116:5146
韶关新闻综合,http://116.20.67.180:4000/udp/239.77.0.117:5146
韶关绿色生活,http://116.20.67.180:4000/udp/239.77.0.118:5146
韶关绿色生活,http://116.20.67.180:4000/udp/239.77.0.119:5146
湛江新闻综合,http://116.20.67.180:4000/udp/239.77.0.120:5146
湛江新闻综合,http://116.20.67.180:4000/udp/239.77.0.141:5146
湛江公共,http://116.20.67.180:4000/udp/239.77.0.121:5146
湛江公共,http://116.20.67.180:4000/udp/239.77.0.140:5146
揭阳综合,http://116.20.67.180:4000/udp/239.77.0.157:5146
揭阳综合,http://116.20.67.180:4000/udp/239.77.0.229:5146
揭阳生活,http://116.20.67.180:4000/udp/239.77.0.158:5146
揭阳生活,http://116.20.67.180:4000/udp/239.77.0.251:5146
汕尾新闻综合,http://116.20.67.180:4000/udp/239.77.1.189:5146
汕尾新闻综合,http://116.20.67.180:4000/udp/239.77.0.25:5146
汕尾文化生活,http://116.20.67.180:4000/udp/239.77.1.190:5146
汕尾文化生活,http://116.20.67.180:4000/udp/239.77.0.187:5146
江门综合,http://116.20.67.180:4000/udp/239.77.0.195:5146
江门综合,http://116.20.67.180:4000/udp/239.77.0.201:5146
江门侨乡生活,http://116.20.67.180:4000/udp/239.77.0.196:5146
江门侨乡生活,http://116.20.67.180:4000/udp/239.77.0.202:5146
江门教育,http://116.20.67.180:4000/udp/239.77.0.197:5146
江门教育,http://116.20.67.180:4000/udp/239.77.0.203:5146
HZTV-1,http://116.20.67.180:4000/udp/239.77.0.247:5146
HZTV-1,http://116.20.67.180:4000/udp/239.77.1.154:5146
HZTV-1,http://116.20.67.180:4000/udp/239.77.1.232:5146
HZTV-2,http://116.20.67.180:4000/udp/239.77.0.248:5146
HZTV-2,http://116.20.67.180:4000/udp/239.77.1.173:5146
HZTV-2,http://116.20.67.180:4000/udp/239.77.1.233:5146
珠海-1,http://116.20.67.180:4000/udp/239.77.1.230:5146
珠海-1,http://116.20.67.180:4000/udp/239.77.0.155:5146
珠海-2,http://116.20.67.180:4000/udp/239.77.1.231:5146
珠海-2,http://116.20.67.180:4000/udp/239.77.0.154:5146
肇庆综合,http://116.20.67.180:4000/udp/239.253.43.3:5146
肇庆综合,http://116.20.67.180:4000/udp/239.253.43.1:5146
肇庆生活服务,http://116.20.67.180:4000/udp/239.253.43.4:5146
肇庆生活服务,http://116.20.67.180:4000/udp/239.253.43.2:5146
河源综合,http://116.20.67.180:4000/udp/239.253.43.215:5146
河源综合,http://116.20.67.180:4000/udp/239.253.43.213:5146
河源公共,http://116.20.67.180:4000/udp/239.253.43.216:5146
河源公共,http://116.20.67.180:4000/udp/239.253.43.214:5146
清远新闻综合,http://116.20.67.180:4000/udp/239.253.43.31:5146
清远新闻综合,http://116.20.67.180:4000/udp/239.253.43.33:5146
清远文旅生活,http://116.20.67.180:4000/udp/239.253.43.32:5146
清远文旅生活,http://116.20.67.180:4000/udp/239.77.0.241:5146
清远文旅生活,http://116.20.67.180:4000/udp/239.253.43.34:5146
云浮综合,http://116.20.67.180:4000/udp/239.253.43.195:5146
云浮综合,http://116.20.67.180:4000/udp/239.77.0.253:5146
云浮文旅,http://116.20.67.180:4000/udp/239.253.43.194:5146
云浮文旅,http://116.20.67.180:4000/udp/239.77.0.254:5146
茂名综合,http://116.20.67.180:4000/udp/239.77.0.204:5146
茂名综合,http://116.20.67.180:4000/udp/239.77.0.206:5146
茂名公共,http://116.20.67.180:4000/udp/239.77.0.205:5146
茂名公共,http://116.20.67.180:4000/udp/239.77.0.207:5146
汕头综合,http://116.20.67.180:4000/udp/239.253.43.30:5146
汕头综合,http://116.20.67.180:4000/udp/239.77.1.130:5146
汕头综合,http://116.20.67.180:4000/udp/239.253.43.45:5146
汕头经济生活,http://116.20.67.180:4000/udp/239.253.43.43:5146
汕头经济生活,http://116.20.67.180:4000/udp/239.77.1.131:5146
汕头经济生活,http://116.20.67.180:4000/udp/239.253.43.46:5146
汕头文旅体育,http://116.20.67.180:4000/udp/239.253.43.44:5146
汕头文旅体育,http://116.20.67.180:4000/udp/239.77.1.132:5146
汕头文旅体育,http://116.20.67.180:4000/udp/239.253.43.47:5146
佛山公共,http://116.20.67.180:4000/udp/239.253.43.48:5146
佛山公共,http://116.20.67.180:4000/udp/239.253.43.53:5146
佛山南海,http://116.20.67.180:4000/udp/239.253.43.49:5146
佛山南海,http://116.20.67.180:4000/udp/239.77.0.236:5146
佛山南海,http://116.20.67.180:4000/udp/239.253.43.54:5146
佛山顺德,http://116.20.67.180:4000/udp/239.253.43.50:5146
佛山顺德,http://116.20.67.180:4000/udp/239.253.43.55:5146
佛山影视,http://116.20.67.180:4000/udp/239.253.43.51:5146
佛山影视,http://116.20.67.180:4000/udp/239.253.43.56:5146
佛山综合,http://116.20.67.180:4000/udp/239.253.43.52:5146
佛山综合,http://116.20.67.180:4000/udp/239.253.43.57:5146
东莞新闻综合,http://116.20.67.180:4000/udp/239.253.43.102:5146
东莞新闻综合,http://116.20.67.180:4000/udp/239.253.43.104:5146
东莞生活资讯,http://116.20.67.180:4000/udp/239.253.43.103:5146
东莞生活资讯,http://116.20.67.180:4000/udp/239.253.43.105:5146
中山综合,http://116.20.67.180:4000/udp/239.253.43.59:5146
